stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\wwwgu\Documents\Pokenac\AllegroGame\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.13147] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13150] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13153] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13156] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13160] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13163] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13166] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13169] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13172] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13175] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13178] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13181] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13184] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13188] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13191] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13194] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13197] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13200] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13203] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13207] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13210] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13214] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13218] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13221] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13224] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13227] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13230] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13233] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13236] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13239] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13242] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13246] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13248] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13252] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13255] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13258] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13261] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13264] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13267] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13270] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13273] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13276] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13279] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13283] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13286] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13289] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13292] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13295] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13298] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13301] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13304] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13308] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13311] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13314] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13317] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13320] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13323] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13326] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13329] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13332] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13335] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13340] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13344] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13350] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13354] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13357] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13360] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13364] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13367] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13371] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13373] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13377] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13380] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.13390] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.13397] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.13400] Single Buffer requirement not met.
